City,Time,Temperature,Humidity,Pressure,WindSpeed,Weather_Class
Shimla,2026-07-29T23:00,14.8,99,777.7,2.6,Cool
Shimla,2026-07-30T00:00,14.6,99,777.6,1.7,Cool
Shimla,2026-07-30T01:00,15.3,97,778.5,3.0,Cool
Shimla,2026-07-30T02:00,17.5,92,780.3,2.9,Cool
Shimla,2026-07-30T03:00,19.1,81,781.7,4.7,Cool
Shimla,2026-07-30T04:00,20.2,76,782.6,6.5,Cool
Shimla,2026-07-30T05:00,17.5,95,781.5,5.4,Cool
Shimla,2026-07-30T06:00,19.8,86,782.6,3.7,Cool
Shimla,2026-07-30T07:00,21.9,73,782.9,5.2,Cool
Shimla,2026-07-30T08:00,17.2,95,780.3,7.0,Cool
Shimla,2026-07-30T09:00,18.2,96,780.3,3.0,Cool
Shimla,2026-07-30T10:00,18.6,95,780.0,3.5,Cool
Shimla,2026-07-30T11:00,17.9,100,779.9,2.7,Cool
Shimla,2026-07-30T12:00,17.7,99,779.4,1.5,Cool
Shimla,2026-07-30T13:00,17.8,98,779.6,1.3,Cool
Shimla,2026-07-30T14:00,17.0,98,779.5,1.1,Cool
Shimla,2026-07-30T15:00,16.7,98,779.7,1.8,Cool
Shimla,2026-07-30T16:00,16.5,98,779.9,3.6,Cool
Shimla,2026-07-30T17:00,16.4,99,780.2,3.9,Cool
Shimla,2026-07-30T18:00,16.5,99,780.7,4.5,Cool
Shimla,2026-07-30T19:00,16.0,99,780.5,4.8,Cool
Shimla,2026-07-30T20:00,15.8,99,780.1,6.6,Cool
Shimla,2026-07-30T21:00,15.4,99,779.6,5.9,Cool
Shimla,2026-07-30T22:00,15.1,98,779.5,5.4,Cool
Shimla,2026-07-30T23:00,15.3,98,779.6,6.5,Cool
Shimla,2026-07-31T00:00,15.5,97,779.7,5.7,Cool
Shimla,2026-07-31T01:00,15.9,97,780.4,6.6,Cool
Shimla,2026-07-31T02:00,16.8,95,781.5,7.0,Cool
Shimla,2026-07-31T03:00,18.1,88,782.9,4.2,Cool
Shimla,2026-07-31T04:00,18.6,84,783.4,3.8,Cool
Shimla,2026-07-31T05:00,19.2,81,783.9,3.8,Cool
Shimla,2026-07-31T06:00,21.0,70,784.5,5.7,Cool
Shimla,2026-07-31T07:00,20.8,72,783.9,6.8,Cool
Shimla,2026-07-31T08:00,20.6,72,783.3,2.7,Cool
Shimla,2026-07-31T09:00,19.4,78,782.4,4.8,Cool
Shimla,2026-07-31T10:00,18.6,83,781.4,3.1,Cool
Shimla,2026-07-31T11:00,19.0,81,781.4,1.7,Cool
Shimla,2026-07-31T12:00,18.9,82,781.2,3.6,Cool
Shimla,2026-07-31T13:00,18.3,87,780.2,4.4,Cool
Shimla,2026-07-31T14:00,16.8,96,779.1,4.5,Cool
Shimla,2026-07-31T15:00,16.6,96,779.5,3.6,Cool
